Player,Pos,PPG,APG,RPG,PPG_norm,APG_norm,RPG_norm,Score,Label
Hedo Turkoglu,SF,6.6716417910447765,1.2985074626865671,2.8059701492537314,0.18466574155482346,0.08931532812129826,0.1503853282606575,0.15359751421516035,Reserva
Nick Van,SG,12.493150684931509,4.273972602739726,2.8493150684931505,0.34580048027844484,0.29397695151119807,0.1527083892917898,0.2864526505742151,Role Player
Keith Van,PF,15.891891891891891,1.2567567567567568,7.081081081081081,0.4398749352617344,0.08644358644358645,0.37950892068539127,0.35667722565084065,Role Player
Jacque Vaughn,PG,5.9125,2.9,1.475,0.16365330021291694,0.19947089947089947,0.07905228758169935,0.17733204921034731,Reserva
Jake Voskuhl,C,3.815384615384616,0.5538461538461539,3.4615384615384617,0.10560681334279633,0.0380952380952381,0.18552036199095023,0.14680378500693286,Reserva
Dajuan Wagner,SG,13.382978723404255,2.765957446808511,1.74468085106383,0.3704302130679673,0.1902510413148711,0.09350577110276737,0.24297365597368883,Reserva
Antoine Walker,PF,20.128205128205128,4.782051282051282,7.217948717948718,0.5571327182398864,0.32892416225749554,0.3868443103737222,0.4377572309094457,Role Player
Samaki Walker,C,4.417910447761194,0.9552238805970148,5.492537313432836,0.12228424944122539,0.06570322988233435,0.29437128085064873,0.21987836633099028,Reserva
Ben Wallace,C,6.931506849315069,1.643835616438356,15.424657534246576,0.19185859980361084,0.11306805827353772,0.8266809920315159,0.5648729809873465,All-Star
Gerald Wallace,SF,4.680851063829787,0.4893617021276595,2.723404255319149,0.1295622366851396,0.03365979961724642,0.14596022806285636,0.11612104625376184,Reserva
Rasheed Wallace,PF,18.10810810810811,2.0675675675675675,7.405405405405405,0.5012180384785069,0.14221364221364222,0.3968910086557146,0.395203864127381,Role Player
Charlie Ward,PG,7.151515151515151,4.636363636363637,2.6818181818181817,0.19794825472611136,0.3189033189033189,0.14373143196672608,0.25571494567674585,Role Player
Earl Watson,PG,5.481012658227848,2.848101265822785,2.075949367088608,0.15171007357763383,0.19590114526823388,0.11126003143873586,0.17178310731598895,Reserva
Clarence Weatherspoon,PF,6.594936708860759,0.8607594936708861,7.582278481012659,0.1825426058520721,0.059205679458844016,0.4063704806817242,0.27595600430791395,Role Player
Chris Webber,PF,23.01492537313433,5.432835820895522,10.507462686567164,0.6370348399944916,0.37368711995577664,0.5631450590186323,0.5605877915007548,All-Star
Bonzi Wells,SG,15.173333333333334,3.28,5.253333333333333,0.41998580553584103,0.2256084656084656,0.28155119825708064,0.3145479481091388,Role Player
Jiri Welsch,SF,1.648648648648649,0.7297297297297297,0.7567567567567568,0.04563328410028197,0.05019305019305019,0.04055820526408762,0.044768959726167595,Reserva
David Wesley,SG,16.671232876712327,3.4383561643835616,2.3972602739726026,0.46144647423121415,0.23650068855548306,0.12848061599068852,0.3048749883128166,Role Player
Jahidi White,C,4.1875,0.125,4.5625,0.1159066713981547,0.008597883597883597,0.2445261437908497,0.1823474760537446,Reserva
Rodney White,SG,9.02777777777778,1.6805555555555556,2.958333333333333,0.24988171279867524,0.11559376837154614,0.1585511982570806,0.17790043211950468,Reserva
Chris Whitney,PG,6.96078431372549,2.843137254901961,1.3137254901960784,0.19266897674612782,0.19555970536362693,0.0704088171216199,0.18800133307365197,Reserva
Chris Wilcox,PF,3.717391304347826,0.4565217391304347,2.260869565217391,0.10289443638720029,0.03140096618357487,0.12117078715544188,0.10130859124077728,Reserva
Mike Wilks,PG-SG,3.1956521739130435,2.0,1.5434782608695652,0.0884531119819792,0.13756613756613756,0.08272236430804206,0.0,Reserva
Aaron Williams,C,6.172839506172839,1.0864197530864197,4.08641975308642,0.17085929080251294,0.07472728460382781,0.21901073186476241,0.1901369548199941,Reserva
Alvin Williams,PG,13.166666666666666,5.333333333333333,3.141025641025641,0.36444286728176006,0.36684303350970016,0.1683425506954919,0.3558379345664167,Role Player
Brandon Williams,SF,0.3333333333333333,0.0,0.3333333333333333,0.009226401703335697,0.0,0.01786492374727669,0.010404604078047906,Reserva
Eric Williams,SF,9.097560975609756,1.7073170731707317,4.658536585365853,0.2518132562446987,0.11743450767841011,0.2496732026143791,0.2241884877608291,Reserva
Frank Williams,PG,1.3333333333333333,1.619047619047619,0.8571428571428571,0.03690560681334279,0.11136306374401612,0.04593837535014006,0.07458597370551932,Reserva
Jason Williams,PG,12.092105263157896,8.302631578947368,2.789473684210526,0.33469986179074374,0.5710804789752157,0.14950120399036806,0.44363023749296093,Role Player
Jay Williams,PG,9.52,4.666666666666667,2.6,0.2635060326472675,0.32098765432098764,0.13934640522875819,0.2860388621132021,Role Player
Jerome Williams,PF,9.732394366197184,1.3380281690140845,9.154929577464788,0.26938493987344936,0.09203368358297935,0.49065635643928934,0.3534179597127989,Role Player
Monty Williams,SF,4.380952380952381,1.238095238095238,2.142857142857143,0.12126127952955491,0.08515998992189466,0.11484593837535015,0.11179565220405119,Reserva
Scott Williams,C,3.9565217391304346,0.3188405797101449,2.7971014492753623,0.10951337673959329,0.02193083352503642,0.1499100123141044,0.12499310376284425,Reserva
Shammond Williams,PG,8.038461538461538,3.41025641025641,2.1923076923076925,0.2224982256919801,0.2345679012345679,0.11749622926093516,0.22328296364172173,Reserva
Walt Williams,SF,5.5,0.8939393939393939,3.136363636363636,0.15223562810503902,0.06148789482122815,0.16809269162210336,0.13963605367924936,Reserva
Corliss Williamson,SF,12.03658536585366,1.2682926829268293,4.365853658536586,0.3331631151655733,0.08723706284681894,0.2339869281045752,0.24926623923047309,Reserva
Kevin Willis,C,4.183098591549296,0.3380281690140845,3.183098591549296,0.11578484391087476,0.02325061479991057,0.170597440854276,0.13941897916581908,Reserva
