Player,Pos,PPG,APG,RPG
Mike Brown,C,6.243902439024391,0.573170731707317,4.548780487804878
Raymond Brown,PF,1.0,0.25,0.9375
Tony Brown,SF,3.5901639344262297,0.6721311475409836,1.180327868852459
Stanley Brundy,SF,2.3125,0.1875,1.625
Mark Bryant,PF,2.896551724137931,0.2241379310344827,2.5172413793103448
Torgeir Bryn,C,1.3333333333333333,0.0,0.6666666666666666
Steve Bucknall,SG,1.2777777777777777,0.5555555555555556,0.3888888888888889
Greg Butler,C,0.4615384615384615,0.0769230769230769,0.6923076923076923
Michael Cage,C,9.731707317073171,0.8536585365853658,10.01219512195122
Adrian Caldwell,PF,1.9019607843137247,0.1372549019607843,2.1372549019607843
Tony Campbell,SG,23.20731707317073,2.597560975609756,5.5
Rick Carlisle,SG,0.4,1.0,0.0
Antoine Carr,PF,12.324675324675324,1.5454545454545454,4.181818181818182
Joe Barry,C,10.013157894736842,1.2763157894736843,5.828947368421052
Bill Cartwright,C,11.422535211267606,2.0422535211267605,6.549295774647887
Terry Catledge,PF,19.39189189189189,0.972972972972973,7.608108108108108
Tom Chambers,PF,27.17283950617284,2.345679012345679,7.049382716049383
Rex Chapman,SG,17.5,2.4444444444444446,3.314814814814815
Maurice Cheeks,PG,9.74074074074074,5.592592592592593,2.962962962962963
Derrick Chievous,SF,5.327272727272727,0.5636363636363636,1.6363636363636365
Ben Coleman,PF,5.727272727272728,0.5454545454545454,3.954545454545455
Steve Colter,PG,4.945205479452055,2.0273972602739727,2.410958904109589
Lester Conner,PG,7.902439024390244,4.695121951219512,3.231707317073171
Michael Cooper,SG,6.4375,2.6875,2.8375
Wayne Cooper,C,3.810126582278481,0.5569620253164557,4.291139240506329
Lanard Copeland,SG,3.217391304347826,0.391304347826087,0.4347826086956521
Tyrone Corbin,SF,14.670731707317072,2.6341463414634148,7.365853658536586
Dave Corzine,C,3.6666666666666665,0.3333333333333333,3.0
Pat Cummings,C,4.72972972972973,0.3513513513513513,2.5135135135135136
Terry Cummings,PF,22.444444444444443,2.703703703703704,8.358024691358025
Dell Curry,SG,15.970149253731345,2.373134328358209,2.5074626865671643
Quintin Dailey,SG,8.233333333333333,1.1333333333333333,1.7
Adrian Dantley*,SF,14.71111111111111,1.7777777777777777,3.8222222222222224
Brad Daugherty,C,16.829268292682926,3.1707317073170733,9.097560975609756
Brad Davis,PG,6.438356164383562,3.315068493150685,1.273972602739726
Charles Davis,SF,2.452830188679245,0.3396226415094339,1.528301886792453
Terry Davis,PF,4.73015873015873,0.3968253968253968,3.634920634920635
Walter Davis,SG,17.492753623188406,2.246376811594203,2.5942028985507246
Johnny Dawkins,PG,14.34567901234568,7.419753086419753,3.049382716049383
Vinny Del,SG,9.723684210526317,3.289473684210526,2.6052631578947367
Byron Dinkins,PG,3.484848484848485,2.272727272727273,1.2121212121212122
Vlade Divac,C,8.548780487804878,0.9146341463414634,6.243902439024391
James Donaldson,C,9.10958904109589,0.7808219178082192,8.63013698630137
Sherman Douglas,PG,14.25925925925926,7.641975308641975,2.54320987654321
Terry Dozier,SF,2.4444444444444446,0.3333333333333333,1.6666666666666667
Greg Dreiling,C,1.326530612244898,0.1632653061224489,1.7755102040816326
Larry Drew,PG,5.225,2.7125,1.225
Clyde Drexler*,SG,23.32876712328768,5.917808219178082,6.945205479452055
Kevin Duckworth,C,16.182926829268293,1.1097560975609757,6.2073170731707314
Chris Dudley,PF,5.46875,0.609375,6.609375
Joe Dumars*,SG,17.8,4.906666666666666,2.8266666666666667
Mike Dunleavy,PG,3.4,2.0,0.4
T.R. Dunn,SF,1.7538461538461538,0.6615384615384615,2.123076923076923
Ledell Eackles,SG,13.525641025641026,2.333333333333333,2.243589743589744
Mark Eaton,C,4.817073170731708,0.4756097560975609,7.329268292682927
Blue Edwards,SF,8.865853658536585,1.7682926829268293,3.0609756097560976
James Edwards,C,14.5,0.7682926829268293,4.2073170731707314
